"거주자우선주차구획번호",거주자우선주차구획위도,거주자우선주차구획경도,거주자우선주차구역명,소재지도로명주소,소재지지번주소,운영형태,사용시간대정보,사용기간,이용요금,이용요금할인정보,이용요금결제방법,이용요금환불안내정보,정기접수시작일자,정기접수종료일자,신청방법,신청서류,관리기관전화번호,관리기관명,데이터기준일자
11215-광장_247,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_248,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_248-1,37.54623104,127.1046803,지정구간,,서울특별시 광진구 광장동 249-7,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_249,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_250,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_251,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_252,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_253,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_256,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_257,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_258,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_259,37.54690769,127.1041757,지정구간,,서울특별시 광진구 광장동 250,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_265,37.54612781,127.1035317,지정구간,,서울특별시 광진구 광장동 245-9,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_301,37.54850609,127.1098153,지정구간,,서울특별시 광진구 광장동 137,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_302,37.54942644,127.1099308,지정구간,,서울특별시 광진구 광장동 131-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_303,37.54942644,127.1099308,지정구간,,서울특별시 광진구 광장동 131-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_304,37.54942644,127.1099308,지정구간,,서울특별시 광진구 광장동 131-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_305,37.54942644,127.1099308,지정구간,,서울특별시 광진구 광장동 131-1,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_306,37.54957925,127.1100303,지정구간,,서울특별시 광진구 광장동 130,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_307,37.54957925,127.1100303,지정구간,,서울특별시 광진구 광장동 130,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
11215-광장_308,37.54957925,127.1100303,지정구간,,서울특별시 광진구 광장동 130,,,1월~12월,주간:3만원+야간:2만원+전일4만원,,,,2022-01-01,2022-12-31,,,,서울특별시 광진구청,2022-07-19
